ensembl_id,gene_symbol
ENSG00000090104,RGS1
ENSG00000116741,RGS2
ENSG00000066279,ASPM
ENSG00000118193,KIF14
ENSG00000159166,LAD1
ENSG00000159173,TNNI1
ENSG00000143858,SYT2
ENSG00000133048,CHI3L1
ENSG00000143839,REN
ENSG00000158715,SLC45A3
ENSG00000276600,RAB7B
ENSG00000263961,RHEX
ENSG00000136634,IL10
ENSG00000123689,G0S2
ENSG00000117650,NEK2
ENSG00000143476,DTL
ENSG00000162772,ATF3
ENSG00000117724,CENPF
ENSG00000136630,HLX
ENSG00000143669,LYST
ENSG00000115738,ID2
ENSG00000171848,RRM2
ENSG00000071575,TRIB2
ENSG00000143878,RHOB
ENSG00000115155,OTOF
ENSG00000115163,CENPA
ENSG00000075426,FOSL2
ENSG00000049323,LTBP1
ENSG00000138061,CYP1B1
ENSG00000183023,SLC8A1
ENSG00000119888,EPCAM
ENSG00000115380,EFEMP1
ENSG00000226702,MIR217HG
ENSG00000119865,CNRIP1
ENSG00000115956,PLEK
ENSG00000152672,CLEC4F
ENSG00000116031,CD207
ENSG00000135625,EGR4
ENSG00000115523,GNLY
ENSG00000153563,CD8A
ENSG00000222041,CYTOR
ENSG00000211592,IGKC
ENSG00000211598,IGKV4-1
ENSG00000243466,IGKV1-5
ENSG00000239951,IGKV3-20
ENSG00000241294,IGKV2-24
ENSG00000244575,IGKV1-27
ENSG00000242371,IGKV1-39
ENSG00000243264,IGKV2D-29
ENSG00000242580,IGKV1D-43
ENSG00000228325,IGKV3D-7
ENSG00000158050,DUSP2
ENSG00000168754,FAM178B
ENSG00000115602,IL1RL1
ENSG00000144130,NT5DC4
ENSG00000169607,CKAP2L
ENSG00000125538,IL1B
ENSG00000136689,IL1RN
ENSG00000019169,MARCO
ENSG00000136732,GYPC
ENSG00000076003,MCM6
ENSG00000121966,CXCR4
ENSG00000115963,RND3
ENSG00000123610,TNFAIP6
ENSG00000183091,NEB
ENSG00000153234,NR4A2
ENSG00000153253,SCN3A
ENSG00000152253,SPC25
ENSG00000073737,DHRS9
ENSG00000204334,ERICH2
ENSG00000115844,DLX2
ENSG00000144354,CDCA7
ENSG00000128656,CHN1
ENSG00000128713,HOXD11
ENSG00000155657,TTN
ENSG00000162992,NEUROD1
ENSG00000168542,COL3A1
ENSG00000138449,SLC40A1
ENSG00000115415,STAT1
ENSG00000144381,HSPD1
ENSG00000224137,LINC01857
ENSG00000030419,IKZF2
ENSG00000115414,FN1
ENSG00000197756,RPL37A
ENSG00000115457,IGFBP2
ENSG00000115461,IGFBP5
ENSG00000179921,GPBAR1
ENSG00000171951,SCG2
ENSG00000153823,PID1
ENSG00000163273,NPPC
ENSG00000171551,ECEL1
ENSG00000123485,HJURP
ENSG00000188042,ARL4C
ENSG00000172482,AGXT
ENSG00000088726,TMEM40
ENSG00000172995,ARPP21
ENSG00000168329,CX3CR1
ENSG00000163808,KIF15
ENSG00000173578,XCR1
ENSG00000163823,CCR1
ENSG00000160801,PTH1R
ENSG00000163687,DNASE1L3
ENSG00000113805,CNTN3
ENSG00000144802,NFKBIZ
ENSG00000144824,PHLDB2
ENSG00000172020,GAP43
ENSG00000121552,CSTA
ENSG00000073111,MCM2
ENSG00000179348,GATA2
ENSG00000169704,GP9
ENSG00000170893,TRH
ENSG00000174640,SLCO2A1
ENSG00000231213,PLSCR5
ENSG00000163751,CPA3
ENSG00000047457,CP
ENSG00000018408,WWTR1
ENSG00000181631,P2RY13
ENSG00000198829,SUCNR1
ENSG00000196549,MME
ENSG00000244321,LINC01326
ENSG00000121858,TNFSF10
ENSG00000078081,LAMP3
ENSG00000152492,CCDC50
ENSG00000114315,HES1
ENSG00000189058,APOD
ENSG00000072274,TFRC
ENSG00000159674,SPON2
ENSG00000170891,CYTL1
ENSG00000163993,S100P
ENSG00000109684,CLNK
ENSG00000004468,CD38
ENSG00000137441,FGFBP2
ENSG00000109805,NCAPG
ENSG00000250137,
ENSG00000197057,DTHD1
ENSG00000154277,UCHL1
ENSG00000157404,KIT
ENSG00000128052,KDR
ENSG00000109255,NMU
ENSG00000171476,HOPX
ENSG00000128040,SPINK2
ENSG00000163453,IGFBP7
ENSG00000250696,
ENSG00000126549,STATH
ENSG00000132465,JCHAIN
ENSG00000169435,RASSF6
ENSG00000169429,CXCL8
ENSG00000163739,CXCL1
ENSG00000163737,PF4
ENSG00000163736,PPBP
ENSG00000163734,CXCL3
ENSG00000081041,CXCL2
ENSG00000124882,EREG
ENSG00000109321,AREG
ENSG00000138755,CXCL9
ENSG00000169245,CXCL10
ENSG00000169248,CXCL11
ENSG00000138639,ARHGAP24
ENSG00000152583,SPARCL1
ENSG00000118785,SPP1
ENSG00000163106,HPGDS
ENSG00000164032,H2AZ1
ENSG00000153064,BANK1
ENSG00000138778,CENPE
ENSG00000164093,PITX2
ENSG00000269893,SNHG8
ENSG00000050730,TNIP3
ENSG00000164111,ANXA5
ENSG00000145386,CCNA2
ENSG00000164056,SPRY1
ENSG00000250361,GYPB
ENSG00000137462,TLR2
ENSG00000145423,SFRP2
ENSG00000145416,MARCHF1
ENSG00000109472,CPE
ENSG00000251445,CBR4-DT
ENSG00000164104,HMGB2
ENSG00000164120,HPGD
ENSG00000164305,CASP3
ENSG00000151725,CENPU
ENSG00000170549,IRX1
ENSG00000176788,BASP1
ENSG00000250337,PURPL
ENSG00000168685,IL7R
ENSG00000168671,UGT3A2
ENSG00000113594,LIFR
ENSG00000082074,FYB1
ENSG00000171522,PTGER4
ENSG00000112936,C7
ENSG00000250722,SELENOP
ENSG00000112972,HMGCS1
ENSG00000134363,FST
ENSG00000113088,GZMK
ENSG00000145649,GZMA
ENSG00000134057,CCNB1
ENSG00000228716,DHFR
ENSG00000038427,VCAN
ENSG00000248752,
ENSG00000164399,IL3
ENSG00000113525,IL5
ENSG00000169194,IL13
ENSG00000120708,TGFBI
ENSG00000112984,KIF20A
ENSG00000120738,EGR1
ENSG00000170476,MZB1
ENSG00000249751,ECSCR
ENSG00000113070,HBEGF
ENSG00000170458,CD14
ENSG00000182578,CSF1R
ENSG00000164611,PTTG1
ENSG00000072571,HMMR
ENSG00000181163,NPM1
ENSG00000120129,DUSP1
ENSG00000054598,FOXC1
ENSG00000021355,SERPINB1
ENSG00000124491,F13A1
ENSG00000112149,CD83
ENSG00000124766,SOX4
ENSG00000172179,PRL
ENSG00000286522,H3C2
ENSG00000197061,H4C3
ENSG00000273983,H3C8
ENSG00000184357,H1-5
ENSG00000213886,UBD
ENSG00000196230,TUBB
ENSG00000137331,IER3
ENSG00000234745,HLA-B
ENSG00000232810,TNF
ENSG00000227507,LTB
ENSG00000204482,LST1
ENSG00000204287,HLA-DRA
ENSG00000198502,HLA-DRB5
ENSG00000196126,HLA-DRB1
ENSG00000196735,HLA-DQA1
ENSG00000179344,HLA-DQB1
ENSG00000231389,HLA-DPA1
ENSG00000137309,HMGA1
ENSG00000124614,RPS10
ENSG00000124762,CDKN1A
ENSG00000124772,CPNE5
ENSG00000137193,PIM1
ENSG00000171611,PTCRA
ENSG00000124813,RUNX2
ENSG00000069122,ADGRF5
ENSG00000112077,RHAG
ENSG00000112115,IL17A
ENSG00000112116,IL17F
ENSG00000112118,MCM3
ENSG00000124749,COL21A1
ENSG00000272243,
ENSG00000112773,TENT5A
ENSG00000135346,CGA
ENSG00000272398,CD24
ENSG00000112769,LAMA4
ENSG00000277443,MARCKS
ENSG00000152661,GJA1
ENSG00000235535,TRDN-AS1
ENSG00000281248,LINC02536
ENSG00000164483,SAMD3
ENSG00000118523,CCN2
ENSG00000231023,LINC00326
ENSG00000112319,EYA4
ENSG00000118515,SGK1
ENSG00000118503,TNFAIP3
ENSG00000164442,CITED2
ENSG00000118508,RAB32
ENSG00000131016,AKAP12
ENSG00000153721,CNKSR3
ENSG00000075624,ACTB
ENSG00000106541,AGR2
ENSG00000122691,TWIST1
ENSG00000105928,GSDME
ENSG00000122548,KIAA0087
ENSG00000146592,CREB5
ENSG00000106066,CPVL
ENSG00000240583,AQP1
ENSG00000227191,TRGC2
ENSG00000122641,INHBA
ENSG00000146674,IGFBP3
ENSG00000158517,NCF1
ENSG00000106211,HSPB1
ENSG00000127951,FGL2
ENSG00000135218,CD36
ENSG00000127954,STEAP4
ENSG00000237819,CDK6-AS1
ENSG00000105825,TFPI2
ENSG00000127920,GNG11
ENSG00000106236,NPTX2
ENSG00000166508,MCM7
ENSG00000085514,PILRA
ENSG00000106366,SERPINE1
ENSG00000005249,PRKAR2B
ENSG00000105974,CAV1
ENSG00000105976,MET
ENSG00000122786,CALD1
ENSG00000105894,PTN
ENSG00000275743,TRBV14
ENSG00000275896,PRSS2
ENSG00000211751,TRBC1
ENSG00000106538,RARRES2
ENSG00000179144,GIMAP7
ENSG00000133574,GIMAP4
ENSG00000106565,TMEM176B
ENSG00000002933,TMEM176A
ENSG00000055118,KCNH2
ENSG00000196584,XRCC2
ENSG00000205542,TMSB4X
ENSG00000130066,SAT1
ENSG00000004848,ARX
ENSG00000147027,TMEM47
ENSG00000165168,CYBB
ENSG00000147041,SYTL5
ENSG00000126759,CFP
ENSG00000102145,GATA1
ENSG00000101951,PAGE4
ENSG00000155659,VSIG4
ENSG00000090889,KIF4A
ENSG00000229807,XIST
ENSG00000241343,RPL36A
ENSG00000158164,TMSB15A
ENSG00000133169,BEX1
ENSG00000157514,TSC22D3
ENSG00000101890,GUCY2F
ENSG00000176076,KCNE5
ENSG00000175718,RBMXL3
ENSG00000183918,SH2D1A
ENSG00000198354,DCAF12L2
ENSG00000022267,FHL1
ENSG00000185985,SLITRK2
ENSG00000182492,BGN
ENSG00000007350,TKTL1
ENSG00000126890,CTAG2
ENSG00000091879,ANGPT2
ENSG00000164825,DEFB1
ENSG00000253230,MIR124-1HG
ENSG00000147443,DOK2
ENSG00000179388,EGR3
ENSG00000159167,STC1
ENSG00000277586,NEFL
ENSG00000120885,CLU
ENSG00000168077,SCARA3
ENSG00000171320,ESCO2
ENSG00000168078,PBK
ENSG00000133863,TEX15
ENSG00000157168,NRG1
ENSG00000183779,ZNF703
ENSG00000131203,IDO1
ENSG00000176907,TCIM
ENSG00000104332,SFRP1
ENSG00000029534,ANK1
ENSG00000221869,CEBPD
ENSG00000104738,MCM4
ENSG00000164736,SOX17
ENSG00000181195,PENK
ENSG00000180828,BHLHE22
ENSG00000137573,SULF1
ENSG00000091656,ZFHX4
ENSG00000104435,STMN2
ENSG00000164683,HEY1
ENSG00000164687,FABP5
ENSG00000170323,FABP4
ENSG00000133742,CA1
ENSG00000104267,CA2
ENSG00000253154,
ENSG00000123119,NECAB1
ENSG00000136999,CCN3
ENSG00000245164,LINC00861
ENSG00000136997,MYC
ENSG00000249859,PVT1
ENSG00000253288,
ENSG00000198576,ARC
ENSG00000197353,LYPD2
ENSG00000137033,IL33
ENSG00000147889,CDKN2A
ENSG00000168913,ENHO
ENSG00000172724,CCL19
ENSG00000196196,HRCT1
ENSG00000135046,ANXA1
ENSG00000198963,RORB
ENSG00000148053,NTRK2
ENSG00000135047,CTSL
ENSG00000165030,NFIL3
ENSG00000127083,OMD
ENSG00000204291,COL15A1
ENSG00000136826,KLF4
ENSG00000231901,
ENSG00000044574,HSPA5
ENSG00000085265,FCN1
ENSG00000130558,OLFM1
ENSG00000233016,SNHG7
ENSG00000267206,LCN6
ENSG00000107317,PTGDS
ENSG00000169583,CLIC3
ENSG00000185201,IFITM2
ENSG00000142089,IFITM3
ENSG00000070031,SCT
ENSG00000269821,KCNQ1OT1
ENSG00000129757,CDKN1C
ENSG00000167311,ART5
ENSG00000244734,HBB
ENSG00000223609,HBD
ENSG00000196565,HBG2
ENSG00000133800,LYVE1
ENSG00000050165,DKK3
ENSG00000254670,RASSF10-DT
ENSG00000254789,
ENSG00000070081,NUCB2
ENSG00000255308,CSRP3-AS1
ENSG00000121691,CAT
ENSG00000026508,CD44
ENSG00000175097,RAG2
ENSG00000110492,MDK
ENSG00000172247,C1QTNF4
ENSG00000134817,APLNR
ENSG00000186652,PRG2
ENSG00000197629,MPEG1
ENSG00000149516,MS4A3
ENSG00000149534,MS4A2
ENSG00000110077,MS4A6A
ENSG00000166927,MS4A7
ENSG00000156738,MS4A1
ENSG00000168496,FEN1
ENSG00000167996,FTH1
ENSG00000124942,AHNAK
ENSG00000146670,CDCA5
ENSG00000245532,NEAT1
ENSG00000172543,CTSW
ENSG00000132744,ACY3
ENSG00000110092,CCND1
ENSG00000110203,FOLR3
ENSG00000165323,FAT3
ENSG00000023445,BIRC3
ENSG00000137757,CASP5
ENSG00000170290,SLN
ENSG00000185742,C11orf87
ENSG00000109846,CRYAB
ENSG00000160593,JAML
ENSG00000198851,CD3E
ENSG00000167286,CD3D
ENSG00000160654,CD3G
ENSG00000076706,MCAM
ENSG00000109971,HSPA8
ENSG00000196119,OR8A1
ENSG00000154146,NRGN
ENSG00000149554,CHEK1
ENSG00000067082,KLF6
ENSG00000065328,MCM10
ENSG00000065809,FAM107B
ENSG00000026025,VIM
ENSG00000260314,MRC1
ENSG00000233968,
ENSG00000226447,ZNF25-DT
ENSG00000107562,CXCL12
ENSG00000107551,RASSF4
ENSG00000122952,ZWINT
ENSG00000170312,CDK1
ENSG00000122877,EGR2
ENSG00000122862,SRGN
ENSG00000180644,PRF1
ENSG00000197746,PSAP
ENSG00000168209,DDIT4
ENSG00000165655,ZNF503
ENSG00000108179,PPIF
ENSG00000173269,MMRN2
ENSG00000148671,ADIRF
ENSG00000152766,ANKRD22
ENSG00000138135,CH25H
ENSG00000119922,IFIT2
ENSG00000119917,IFIT3
ENSG00000185745,IFIT1
ENSG00000232229,LINC00865
ENSG00000224750,
ENSG00000148677,ANKRD1
ENSG00000226425,CYP26C1-DT
ENSG00000095596,CYP26A1
ENSG00000138180,CEP55
ENSG00000119969,HELLS
ENSG00000107438,PDLIM1
ENSG00000107447,DNTT
ENSG00000095713,CRTAC1
ENSG00000165646,SLC18A2
ENSG00000165650,PDZD8
ENSG00000132334,PTPRE
ENSG00000148773,MKI67
ENSG00000111247,RAD51AP1
ENSG00000110799,VWF
ENSG00000010278,CD9
ENSG00000139193,CD27
ENSG00000111640,GAPDH
ENSG00000010610,CD4
ENSG00000177575,CD163
ENSG00000198178,CLEC4C
ENSG00000111729,CLEC4A
ENSG00000166523,CLEC4E
ENSG00000255829,
ENSG00000111796,KLRB1
ENSG00000110848,CD69
ENSG00000150045,KLRF1
ENSG00000172322,CLEC12A
ENSG00000165682,CLEC1B
ENSG00000172243,CLEC7A
ENSG00000134539,KLRD1
ENSG00000205809,KLRC2
ENSG00000134545,KLRC1
ENSG00000256039,LINC02446
ENSG00000134531,EMP1
ENSG00000121316,PLBD1
ENSG00000111341,MGP
ENSG00000008394,MGST1
ENSG00000087494,PTHLH
ENSG00000258144,LINC02406
ENSG00000188906,LRRK2
ENSG00000123416,TUBA1B
ENSG00000167552,TUBA1A
ENSG00000135451,TROAP
ENSG00000123358,NR4A1
ENSG00000167768,KRT1
ENSG00000111057,KRT18
ENSG00000135486,HNRNPA1
ENSG00000258763,
ENSG00000197728,RPS26
ENSG00000123384,LRP1
ENSG00000257698,GIHCG
ENSG00000198673,TAFA2
ENSG00000111537,IFNG
ENSG00000090382,LYZ
ENSG00000257764,
ENSG00000127329,PTPRB
ENSG00000133636,NTS
ENSG00000139318,DUSP6
ENSG00000139329,LUM
ENSG00000011465,DCN
ENSG00000205057,CLLU1-AS1
ENSG00000266923,
ENSG00000205056,LINC02397
ENSG00000166211,SPIC
ENSG00000257514,
ENSG00000166598,HSP90B1
ENSG00000074590,NUAK1
ENSG00000183160,TMEM119
ENSG00000076248,UNG
ENSG00000182782,HCAR2
ENSG00000255398,HCAR3
ENSG00000132341,RAN
ENSG00000132965,ALOX5AP
ENSG00000139618,BRCA2
ENSG00000133110,POSTN
ENSG00000102760,RGCC
ENSG00000139679,LPAR6
ENSG00000184226,PCDH9
ENSG00000178695,KCTD12
ENSG00000102794,ACOD1
ENSG00000178235,SLITRK1
ENSG00000169508,GPR183
ENSG00000175820,CCDC168
ENSG00000102524,TNFSF13B
ENSG00000187498,COL4A1
ENSG00000134871,COL4A2
ENSG00000184497,TMEM255B
ENSG00000258314,
ENSG00000176294,OR4N2
ENSG00000129538,RNASE1
ENSG00000169397,RNASE3
ENSG00000136315,RNASE2CP
ENSG00000169385,RNASE2
ENSG00000255569,TRAV1-1
ENSG00000256553,TRAV1-2
ENSG00000211780,TRAV6
ENSG00000211799,TRAV19
ENSG00000211800,TRAV20
ENSG00000211806,TRAV25
ENSG00000211829,TRDC
ENSG00000277734,TRAC
ENSG00000155465,SLC7A7
ENSG00000166091,CMTM5
ENSG00000197616,MYH6
ENSG00000100448,CTSG
ENSG00000100450,GZMH
ENSG00000100453,GZMB
ENSG00000168952,STXBP6
ENSG00000100906,NFKBIA
ENSG00000176435,CLEC14A
ENSG00000100526,CDKN3
ENSG00000131981,LGALS3
ENSG00000126787,DLGAP5
ENSG00000126785,RHOJ
ENSG00000054654,SYNE2
ENSG00000185650,ZFP36L1
ENSG00000119681,LTBP2
ENSG00000170345,FOS
ENSG00000165949,IFI27
ENSG00000197249,SERPINA1
ENSG00000213231,TCL1B
ENSG00000100721,TCL1A
ENSG00000257275,
ENSG00000168398,BDKRB2
ENSG00000258869,LINC02312
ENSG00000140105,WARS1
ENSG00000185559,DLK1
ENSG00000214548,MEG3
ENSG00000258498,DIO3OS
ENSG00000197406,DIO3
ENSG00000185215,TNFAIP2
ENSG00000213145,CRIP1
ENSG00000211890,IGHA2
ENSG00000211891,IGHE
ENSG00000211892,IGHG4
ENSG00000211893,IGHG2
ENSG00000253755,IGHGP
ENSG00000211895,IGHA1
ENSG00000211896,IGHG1
ENSG00000211897,IGHG3
ENSG00000211898,IGHD
ENSG00000211899,IGHM
ENSG00000226777,FAM30A
ENSG00000211935,IGHV1-3
ENSG00000211937,IGHV2-5
ENSG00000211938,IGHV3-7
ENSG00000282639,IGHV3-64D
ENSG00000211943,IGHV3-15
ENSG00000211945,IGHV1-18
ENSG00000211947,IGHV3-21
ENSG00000211949,IGHV3-23
ENSG00000211951,IGHV2-26
ENSG00000270550,IGHV3-30
ENSG00000211955,IGHV3-33
ENSG00000211956,IGHV4-34
ENSG00000211959,IGHV4-39
ENSG00000232216,IGHV3-43
ENSG00000253465,IGHVIV-44-1
ENSG00000211965,IGHV3-49
ENSG00000211968,IGHV1-58
ENSG00000282600,IGHV3-69-1
ENSG00000225698,IGHV3-72
ENSG00000224650,IGHV3-74
ENSG00000259225,LINC02345
ENSG00000137801,THBS1
ENSG00000137804,NUSAP1
ENSG00000259883,EHD4-AS1
ENSG00000166920,C15orf48
ENSG00000128951,DUT
ENSG00000140284,SLC27A2
ENSG00000140287,HDC
ENSG00000104093,DMXL2
ENSG00000137766,UNC13C
ENSG00000247982,LINC00926
ENSG00000128918,ALDH1A2
ENSG00000157456,CCNB2
ENSG00000182718,ANXA2
ENSG00000205502,C2CD4B
ENSG00000166803,PCLAF
ENSG00000138615,CILP
ENSG00000067225,PKM
ENSG00000103811,CTSH
ENSG00000182774,RPS17
ENSG00000258647,LINC00930
ENSG00000247809,NR2F2-AS1
ENSG00000185551,NR2F2
ENSG00000259870,
ENSG00000206177,HBM
ENSG00000188536,HBA2
ENSG00000206172,HBA1
ENSG00000102854,MSLN
ENSG00000197253,TPSB2
ENSG00000172236,TPSAB1
ENSG00000095917,TPSD1
ENSG00000183971,NPW
ENSG00000007038,PRSS21
ENSG00000008517,IL32
ENSG00000048462,TNFRSF17
ENSG00000103381,CPPED1
ENSG00000140749,IGSF6
ENSG00000166851,PLK1
ENSG00000077238,IL4R
ENSG00000213658,LAT
ENSG00000169877,AHSP
ENSG00000091651,ORC6
ENSG00000198848,CES1
ENSG00000125148,MT2A
ENSG00000169715,MT1E
ENSG00000125144,MT1G
ENSG00000205358,MT1H
ENSG00000102962,CCL22
ENSG00000006210,CX3CL1
ENSG00000102970,CCL17
ENSG00000140937,CDH11
ENSG00000159713,TPPP3
ENSG00000039068,CDH1
ENSG00000172137,CALB2
ENSG00000178573,MAF
ENSG00000103187,COTL1
ENSG00000131153,GINS2
ENSG00000140968,IRF8
ENSG00000167513,CDT1
ENSG00000183688,RFLNB
ENSG00000182557,SPNS3
ENSG00000262921,
ENSG00000182853,VMO1
ENSG00000161929,SCIMP
ENSG00000132514,CLEC10A
ENSG00000132507,EIF5A
ENSG00000129226,CD68
ENSG00000178999,AURKB
ENSG00000161973,CCDC42
ENSG00000181350,LRRC75A
ENSG00000240505,TNFRSF13B
ENSG00000108551,RASD1
ENSG00000108691,CCL2
ENSG00000108700,CCL8
ENSG00000108702,CCL1
ENSG00000166750,SLFN5
ENSG00000271503,CCL5
ENSG00000276409,CCL14
ENSG00000275385,CCL18
ENSG00000277632,CCL3
ENSG00000275302,CCL4
ENSG00000276085,CCL3L3
ENSG00000276070,CCL4L2
ENSG00000161405,IKZF3
ENSG00000131747,TOP2A
ENSG00000141753,IGFBP4
ENSG00000126353,CCR7
ENSG00000128422,KRT17
ENSG00000131477,RAMP2
ENSG00000012048,BRCA1
ENSG00000167941,SOST
ENSG00000030582,GRN
ENSG00000005961,ITGA2B
ENSG00000239672,NME1
ENSG00000121053,EPX
ENSG00000005381,MPO
ENSG00000005379,TSPOAP1
ENSG00000068489,PRR11
ENSG00000062716,VMP1
ENSG00000007312,CD79B
ENSG00000266402,SNHG25
ENSG00000154262,ABCA6
ENSG00000186407,CD300E
ENSG00000129654,FOXJ1
ENSG00000167900,TK1
ENSG00000089685,BIRC5
ENSG00000182676,PPP1R27
ENSG00000185624,P4HB
ENSG00000173762,CD7
ENSG00000182459,TEX19
ENSG00000176890,TYMS
ENSG00000141433,ADCYAP1
ENSG00000154864,PIEZO2
ENSG00000141448,GATA6
ENSG00000265369,PCAT18
ENSG00000283458,
ENSG00000132872,SYT4
ENSG00000265681,RPL17
ENSG00000141682,PMAIP1
ENSG00000197632,SERPINB2
ENSG00000242550,SERPINB10
ENSG00000125788,DEFB126
ENSG00000101200,AVP
ENSG00000132646,PCNA
ENSG00000172264,MACROD2
ENSG00000125810,CD93
ENSG00000101439,CST3
ENSG00000077984,CST7
ENSG00000125968,ID1
ENSG00000088325,TPX2
ENSG00000101336,HCK
ENSG00000101347,SAMHD1
ENSG00000118705,RPN2
ENSG00000204103,MAFB
ENSG00000101057,MYBL2
ENSG00000124191,TOX2
ENSG00000175063,UBE2C
ENSG00000100985,MMP9
ENSG00000124212,PTGIS
ENSG00000172216,CEBPB
ENSG00000224397,PELATON
ENSG00000234948,LINC01524
ENSG00000101134,DOK5
ENSG00000101162,TUBB1
ENSG00000101210,EEF1A2
ENSG00000197540,GZMM
ENSG00000185198,PRSS57
ENSG00000129951,PLPPR3
ENSG00000172232,AZU1
ENSG00000196415,PRTN3
ENSG00000197561,ELANE
ENSG00000197766,CFD
ENSG00000105246,EBI3
ENSG00000276043,UHRF1
ENSG00000104918,RETN
ENSG00000183019,MCEMP1
ENSG00000104921,FCER2
ENSG00000181143,MUC16
ENSG00000180739,S1PR5
ENSG00000130164,LDLR
ENSG00000171223,JUNB
ENSG00000105610,KLF1
ENSG00000179218,CALR
ENSG00000160888,IER2
ENSG00000267519,MIR23AHG
ENSG00000127528,KLF2
ENSG00000130300,PLVAP
ENSG00000216490,IFI30
ENSG00000130522,JUND
ENSG00000130513,GDF15
ENSG00000175489,LRRC25
ENSG00000245848,CEBPA
ENSG00000012124,CD22
ENSG00000185897,FFAR3
ENSG00000126264,HCST
ENSG00000011600,TYROBP
ENSG00000167641,PPP1R14A
ENSG00000188505,NCCRP1
ENSG00000128016,ZFP36
ENSG00000105205,CLC
ENSG00000275395,FCGBP
ENSG00000090013,BLVRB
ENSG00000086548,CEACAM6
ENSG00000105369,CD79A
ENSG00000011422,PLAUR
ENSG00000130203,APOE
ENSG00000130208,APOC1
ENSG00000125740,FOSB
ENSG00000197405,C5AR1
ENSG00000087074,PPP1R15A
ENSG00000087086,FTL
ENSG00000269404,SPIB
ENSG00000105472,CLEC11A
ENSG00000167747,C19orf48P
ENSG00000167748,KLK1
ENSG00000167757,KLK11
ENSG00000105374,NKG7
ENSG00000171051,FPR1
ENSG00000187474,FPR3
ENSG00000179820,MYADM
ENSG00000204577,LILRB3
ENSG00000131042,LILRB2
ENSG00000187116,LILRA5
ENSG00000239961,LILRA4
ENSG00000167618,LAIR2
ENSG00000104972,LILRB1
ENSG00000243772,KIR2DL3
ENSG00000125498,KIR2DL1
ENSG00000189013,KIR2DL4
ENSG00000167633,KIR3DL1
ENSG00000240403,KIR3DL2
ENSG00000105048,TNNT1
ENSG00000268654,MIMT1
ENSG00000129824,RPS4Y1
ENSG00000093072,ADA2
ENSG00000099901,RANBP1
ENSG00000211638,IGLV8-61
ENSG00000169575,VPREB1
ENSG00000211644,IGLV1-51
ENSG00000211648,IGLV1-47
ENSG00000211649,IGLV7-46
ENSG00000211650,IGLV5-45
ENSG00000211651,IGLV1-44
ENSG00000211652,IGLV7-43
